Y X1 X2 X3
6.55108 0.8678998 0.9382735 0.898572
6.214608 0.7965283 0.9103982 0.8899643
6.309918 0.790256 0.9051737 0.8793736
6.109248 0.7760645 0.8971563 0.8705082
5.616771 0.7835438 0.905631 0.8910276
5.991465 0.7655898 0.896095 0.8816539
6.052089 0.750536 0.8878079 0.8736821
6.109248 0.7615114 0.8970605 0.89272
5.703782 0.7495029 0.8902096 0.8847067
5.991465 0.738964 0.8836017 0.8760455
6.109248 0.745874 0.890632 0.8947566
6.214608 0.7312935 0.8833304 0.8907878
5.991465 0.724025 0.8780165 0.8799584
5.991465 0.7447737 0.8909674 0.9020171
7.090077 0.7226444 0.879605 0.8986337
6.620073 0.8450878 0.922161 0.8673461
6.620073 0.8427907 0.918917 0.858527
6.620073 0.835905 0.9142071 0.8507718
6.620073 0.8404841 0.9207587 0.8683234
6.55108 0.8238855 0.9107964 0.8546303
6.55108 0.8188632 0.9052132 0.8420311
6.39693 0.7992657 0.9004588 0.8514293
6.55108 0.801595 0.89763 0.8392116
6.39693 0.7925201 0.9016802 0.8641714
6.052089 0.771144 0.8895408 0.851888
6.052089 0.7650898 0.8832565 0.8400743
6.214608 0.7623872 0.8890853 0.861654
5.991465 0.7479842 0.8798096 0.8508745
5.703782 0.7512254 0.8777845 0.8407988
6.052089 0.7442107 0.8823528 0.8638659
6.052089 0.7389009 0.876872 0.8534244
5.703782 0.7246607 0.8664919 0.8406189
5.991465 0.7317172 0.8786065 0.8689851
5.857933 0.7172117 0.8687207 0.856744
5.521461 0.68753 0.8527198 0.848149
5.991465 0.7124904 0.8714998 0.8741713
5.991465 0.6839504 0.8556278 0.8634382
5.991465 0.6772698 0.8500792 0.854749
6.214608 0.6935345 0.8632853 0.8785713
6.214608 0.6797595 0.854859 0.8691586
6.55108 0.6543669 0.840784 0.8634847
7.438384 0.6879221 0.8607583 0.884695
8.160518 0.663088 0.8464893 0.8782416
7.31322 0.6480822 0.8377765 0.869003
6.620073 0.8214067 0.9048907 0.8376082
6.476972 0.818792 0.900049 0.8248203
6.39693 0.794946 0.884162 0.8054894
6.476972 0.7851373 0.8888525 0.8322643
6.214608 0.7882647 0.885783 0.8189453
5.703782 0.7795623 0.8767183 0.8030263
6.214608 0.773583 0.8844557 0.833225
5.616771 0.753397 0.8704465 0.8173484
5.4161 0.7516992 0.8638383 0.8015282
5.616771 0.7372254 0.8677103 0.829002
5.164786 0.7233639 0.8579509 0.8192427
5.075174 0.7185512 0.8493956 0.8035099
5.521461 0.7167814 0.8613351 0.8358034
5.164786 0.6993895 0.8485346 0.8228063
4.828314 0.6891126 0.8373067 0.8078458
5.521461 0.6828235 0.8474585 0.83938
6.39693 0.6549775 0.8290162 0.8260864
4.941642 0.6700726 0.829898 0.8118233
5.991465 0.6507907 0.8357466 0.8496708
5.164786 0.6535302 0.8319141 0.834797
5.075174 0.6263066 0.8140753 0.8245065
6.802395 0.6462864 0.8351854 0.8563742
7.600902 0.6244612 0.8210782 0.8456935
7.31322 0.5977742 0.8049902 0.8401973
8.006368 0.6295054 0.8265321 0.8619786
7.824046 0.6123195 0.8157916 0.8548458
7.090077 0.5938659 0.8034053 0.8433472
5.075174 0.7722947 0.86995 0.7929373
5.010635 0.7676458 0.86282 0.7793006
5.220356 0.7653726 0.8554877 0.7628966
5.4161 0.7498785 0.8605832 0.7951725
4.828314 0.7379533 0.848149 0.7783337
4.49981 0.731122 0.8377321 0.7623505
5.164786 0.714444 0.8433484 0.7939477
5.010635 0.7137028 0.8358962 0.7782215
4.828314 0.7204809 0.833239 0.7649
5.075174 0.6963624 0.8371203 0.7997004
5.010635 0.6810267 0.8222636 0.7852027
5.010635 0.6684493 0.8088331 0.7735354
5.010635 0.6495053 0.818774 0.810005
5.010635 0.648586 0.8088885 0.7926419
4.828314 0.6570954 0.8038254 0.7762094
5.4161 0.6119697 0.8051338 0.8212353
5.4161 0.6209854 0.799687 0.8026007
5.247024 0.5995043 0.7816507 0.7941984
5.4161 0.6025692 0.8006676 0.8222329
5.521461 0.5836502 0.7859424 0.8139452
5.521461 0.5684091 0.7712408 0.8052738
6.39693 0.5744816 0.7900775 0.8347605
5.926926 0.5613322 0.7806298 0.829053
8.29405 0.5288533 0.7576019 0.8202874
9.21034 0.5397466 0.7596917 0.8382965
8.987197 0.5379386 0.7545474 0.8377617
9.047821 0.5377464 0.7525938 0.8375985
4.828314 0.7501414 0.8449115 0.7558578
4.70048 0.7327797 0.827088 0.7374406
4.49981 0.7465196 0.827477 0.7209152
4.49981 0.7013583 0.8191692 0.7580016
4.60517 0.7052975 0.8108814 0.7385584
4.60517 0.7035174 0.7958046 0.7158085
4.60517 0.6667249 0.8026776 0.7651596
4.60517 0.688154 0.8016283 0.7418
4.60517 0.680949 0.7874746 0.7286627
4.70048 0.6485518 0.7932386 0.768123
4.70048 0.6355356 0.7753885 0.7570362
5.010635 0.6439993 0.763774 0.7377207
4.828314 0.6097323 0.7729646 0.7756478
5.075174 0.5901513 0.7564247 0.7745475
5.521461 0.6245254 0.7501516 0.7434056
6.745236 0.5616866 0.7442328 0.7850472
8.160518 0.5313278 0.7483399 0.8065602
10.30895 0.5000106 0.737137 0.8160167
4.787492 0.702443 0.7911532 0.7101474
4.49981 0.7150292 0.7848581 0.6861339
5.075174 0.7173076 0.7729788 0.6682109
4.70048 0.6818963 0.7781526 0.7158346
5.010635 0.6748536 0.7596639 0.7041536
5.164786 0.7007021 0.7626791 0.6780588
4.828314 0.6350826 0.7520037 0.7358121
5.010635 0.6596918 0.7464519 0.7093809
4.905275 0.674185 0.7372988 0.6895389
4.941642 0.6014885 0.7299266 0.750652
4.828314 0.6292411 0.7255996 0.7269083
5.010635 0.6158764 0.7061674 0.7345376
5.572154 0.5689256 0.714088 0.7707049
5.164786 0.6133537 0.6827605 0.7397498
6.620073 0.5532962 0.7194325 0.7817749
6.214608 0.567044 0.683966 0.786425
6.052089 0.5915344 0.6679216 0.7696482
6.907755 0.5455507 0.7005662 0.7987579
6.856462 0.5741471 0.6757956 0.789284
6.533789 0.5912797 0.6598813 0.7863759
5.075174 0.7211604 0.7694556 0.6591982
5.075174 0.7336403 0.7738183 0.6470427
5.247024 0.7102141 0.7600424 0.6639952
5.010635 0.7134937 0.7479443 0.6505002
5.298317 0.7174242 0.7250199 0.6365151
5.991465 0.680339 0.7382531 0.6835283
5.521461 0.7083276 0.7141231 0.6461932
5.4161 0.66301 0.6885439 0.6942379
5.4161 0.6616409 0.6756128 0.698908
5.521461 0.6722644 0.6710185 0.6909668
5.4161 0.6212956 0.6828431 0.7327962
5.783825 0.6420566 0.6448294 0.7319163
5.521461 0.6502155 0.6399164 0.7273
5.783825 0.6102934 0.6635619 0.7516363
5.521461 0.6245195 0.6376172 0.7581544
5.049856 0.6519345 0.6080119 0.755325
5.743003 0.6113025 0.6407492 0.7833344
5.641907 0.6400874 0.6120018 0.7779422
5.521461 0.6526548 0.601484 0.765545
5.521461 0.6501805 0.6024643 0.7865452
4.828314 0.7697113 0.7684679 0.5834997
5.783825 0.757352 0.7448642 0.588074
5.783825 0.7713946 0.7476855 0.5680422
5.857933 0.75193 0.7375079 0.5942517
5.857933 0.7625931 0.7340781 0.5806424
5.4161 0.7150685 0.6866289 0.6459519
5.010635 0.7353434 0.6796974 0.6340613
5.521461 0.7119337 0.6544205 0.667105
4.828314 0.7283735 0.6644511 0.6495094
5.164786 0.6973191 0.6407969 0.6866127
4.60517 0.7058198 0.6244662 0.6926193
4.49981 0.7096586 0.6056409 0.7050562
4.70048 0.6856722 0.5995805 0.7261192
4.70048 0.699715 0.577518 0.734051
4.828314 0.6606407 0.5944348 0.7616311
4.941642 0.7046604 0.5563265 0.7496608
5.164786 0.6672414 0.5844616 0.785591
5.616771 0.6942269 0.5554711 0.7865728
5.857933 0.7140035 0.5404888 0.7941934
6.052089 0.8411415 0.8342787 0.5960271
6.39693 0.8464685 0.8308693 0.5839639
5.991465 0.8510895 0.8267008 0.5757481
6.052089 0.827558 0.8151644 0.5656358
6.052089 0.8282772 0.8034894 0.5388645
5.991465 0.8366517 0.8052591 0.5410399
5.703782 0.8075258 0.7913827 0.5440627
5.991465 0.8050285 0.7824027 0.531774
5.703782 0.8071691 0.7785016 0.5205169
5.521461 0.7891523 0.7631462 0.5436192
6.109248 0.8026483 0.7477273 0.5446095
5.616771 0.768342 0.7288104 0.5765834
5.703782 0.7786991 0.721494 0.5765503
5.298317 0.7842005 0.7097193 0.5913697
5.298317 0.7482923 0.6914497 0.6173536
5.247024 0.7620973 0.6855574 0.6177613
5.298317 0.7716521 0.6776114 0.6274469
4.60517 0.7287806 0.6448275 0.6647884
4.60517 0.7477465 0.6451668 0.6595096
4.70048 0.764145 0.6425456 0.6644986
4.60517 0.723147 0.6263334 0.6822656
4.406719 0.7378799 0.6023056 0.6992242
4.60517 0.7563774 0.6031986 0.7014699
4.406719 0.7154402 0.5889965 0.7156567
4.406719 0.7296327 0.5758986 0.7221003
4.406719 0.7496855 0.5738164 0.7257199
5.010635 0.7177363 0.5480909 0.7479811
4.828314 0.7375178 0.5410074 0.7493131
4.828314 0.7500213 0.5287348 0.764364
6.309918 0.7169035 0.5260806 0.7801738
6.55108 0.7375781 0.5231649 0.794077
4.828314 0.7574769 0.527226 0.7854448
6.907755 0.7209659 0.543926 0.8013941
7.31322 0.7321565 0.5431263 0.8052548
7.31322 0.7429706 0.5445568 0.807935
5.991465 0.8085145 0.7503861 0.5454215
5.521461 0.8204924 0.7610931 0.5451708
6.109248 0.8162616 0.7437425 0.5698847
6.052089 0.800457 0.731351 0.5695909
5.783825 0.8075392 0.7259584 0.5870862
5.298317 0.8190912 0.7243331 0.6101057
5.298317 0.7871263 0.6967537 0.6105679
5.298317 0.791893 0.6794285 0.6387601
5.135798 0.8092739 0.6951335 0.6396956
4.70048 0.7736906 0.655382 0.6545965
4.828314 0.7834902 0.647634 0.6714724
4.828314 0.8003831 0.6612979 0.6747109
4.70048 0.767407 0.6285363 0.6811009
4.828314 0.7807764 0.6158017 0.7062315
4.70048 0.7974979 0.6299385 0.7120161
5.010635 0.7608028 0.5811832 0.7247344
4.672829 0.7760568 0.6006632 0.7180333
4.828314 0.7951894 0.6021863 0.745042
4.828314 0.761284 0.5424874 0.7632028
5.075174 0.778111 0.5745511 0.7503458
5.010635 0.79566 0.58803 0.7693834
4.672829 0.7627372 0.5356418 0.7764382
4.718499 0.7803942 0.5597932 0.7959331
5.010635 0.8151651 0.620035 0.8319559
4.60517 0.800062 0.5880563 0.7992363
5.4161 0.7834245 0.5681865 0.8070002
5.521461 0.7934509 0.5866659 0.8184242
4.828314 0.8054476 0.6012073 0.8194242
6.39693 0.8010855 0.6039914 0.8305656
5.164786 0.806504 0.6095214 0.8306735
5.298317 0.8097408 0.6160508 0.8347183
5.857933 0.8464239 0.7723348 0.5944443
5.857933 0.8558357 0.7721717 0.625063
5.857933 0.8610673 0.7737785 0.6401588
5.703782 0.8309015 0.7410854 0.6072415
5.521461 0.8371508 0.7353601 0.633985
5.521461 0.8514996 0.7514278 0.6480913
5.298317 0.8240409 0.7136846 0.6388489
5.521461 0.8315078 0.710869 0.6615463
5.521461 0.837232 0.7171304 0.6661182
4.828314 0.8098386 0.6685763 0.6804274
4.828314 0.8249918 0.6850076 0.6877388
4.828314 0.8367788 0.6901857 0.7106397
4.60517 0.8041637 0.6378213 0.7132766
4.718499 0.8207287 0.663443 0.7112867
4.60517 0.83355 0.6709944 0.7338446
4.718499 0.8026955 0.6261807 0.726581
4.70048 0.814433 0.6307594 0.7470443
4.60517 0.8325735 0.6607922 0.7489755
5.075174 0.8015722 0.602874 0.7591482
4.828314 0.8147398 0.6164644 0.7759345
5.298317 0.8293739 0.640432 0.7799927
5.164786 0.8033391 0.5950604 0.7831735
5.247024 0.8206502 0.6201206 0.8022651
5.703782 0.8306604 0.6382324 0.7947915
4.828314 0.8237406 0.6282428 0.8263136
4.941642 0.830656 0.6468771 0.8452955
4.941642 0.8449287 0.6661283 0.8471098
4.60517 0.8421834 0.6684291 0.8568852
5.010635 0.8466352 0.6740118 0.8572481
5.857933 0.8467549 0.7104483 0.706156
5.616771 0.8568094 0.7226093 0.7184774
5.521461 0.8679887 0.7360094 0.7359413
4.70048 0.8398754 0.6843353 0.7302448
4.941642 0.8512974 0.7036248 0.7339318
4.60517 0.8645053 0.7157745 0.7622564
4.828314 0.8381244 0.670561 0.7495348
4.60517 0.8532805 0.6865787 0.7768485
4.49981 0.8637602 0.7099715 0.7715818
5.117994 0.8509595 0.6763089 0.7922141
5.075174 0.8634686 0.699311 0.7973183
5.521461 0.8387967 0.651927 0.7982844
5.298317 0.8516532 0.6719097 0.820927
5.010635 0.8644971 0.6965154 0.8156456
5.4161 0.8423746 0.6559086 0.8214333
5.164786 0.8582355 0.6844508 0.8413264
5.010635 0.8667931 0.6991967 0.8430516
5.010635 0.8501319 0.6744859 0.8495606
5.164786 0.8603713 0.6895612 0.8487934
4.828314 0.8735293 0.7139141 0.8605894
4.718499 0.8542979 0.6856789 0.860385
4.60517 0.862967 0.6985898 0.862457
5.010635 0.8784952 0.727355 0.8755287
5.703782 0.8887053 0.7817954 0.7355713
5.521461 0.894912 0.78279 0.7631783
5.616771 0.8715973 0.7451479 0.7329178
5.521461 0.8945709 0.7793798 0.7686691
5.164786 0.8717477 0.7343511 0.7552114
4.49981 0.877683 0.7359377 0.7797911
4.828314 0.8906044 0.7612347 0.788496
4.718499 0.868487 0.7177108 0.7763791
4.60517 0.8768044 0.7273231 0.7965887
4.60517 0.8876491 0.7503298 0.7988329
4.60517 0.8703044 0.7118694 0.8016733
4.60517 0.8792091 0.7263867 0.8154136
5.010635 0.887315 0.744223 0.8141271
4.828314 0.8774283 0.721155 0.8216067
4.828314 0.8740034 0.7124472 0.8485007
4.828314 0.8806607 0.7250016 0.8544729
4.828314 0.8733756 0.7120658 0.8537483
4.941642 0.8846924 0.7327669 0.8585891
4.828314 0.8926236 0.7482532 0.866292
5.521461 0.8842466 0.7368025 0.8772241
5.4161 0.8937718 0.7556225 0.8864147
5.298317 0.8993926 0.7637372 0.8830458
5.521461 0.897819 0.7847445 0.7738403
5.164786 0.9047984 0.7929813 0.7934025
4.60517 0.8927196 0.7659457 0.7889464
4.718499 0.9031777 0.781669 0.8113813
4.70048 0.9123703 0.8023035 0.8163869
4.60517 0.893541 0.7606458 0.8070721
4.60517 0.9025307 0.7755112 0.8244056
4.60517 0.9112607 0.7940803 0.8313804
5.164786 0.8933587 0.7550547 0.8226172
4.60517 0.903044 0.7736251 0.8346027
4.60517 0.9092676 0.7868706 0.8391846
4.356709 0.9103342 0.7836206 0.8777386
5.298317 0.9028076 0.7703076 0.8851173
5.521461 0.9065158 0.7788654 0.8921345
4.143135 0.9112215 0.7870863 0.891307
4.60517 0.914631 0.802239 0.8317714
4.60517 0.9171967 0.8034028 0.8480317
4.60517 0.9213621 0.8148947 0.8442877
4.60517 0.9143426 0.7975566 0.8442476
4.60517 0.9240332 0.8158103 0.8645736
4.60517 0.924526 0.815975 0.8693157
4.317488 0.9299402 0.8276436 0.8767377
3.688879 0.9319767 0.830202 0.8943677
4.143135 0.9164887 0.7964824 0.8824243
5.298317 0.9245786 0.8139226 0.8938778
5.521461 0.9336642 0.8340968 0.906458
5.298317 0.9290812 0.8241428 0.903376
5.135798 0.9349998 0.8374858 0.9115364
5.298317 0.9350303 0.8371726 0.9082236
